股票编号,日期,流动资产,速动资产,流动负债
00090,2017-06,1353.3,15400.0,54600.0
00090,2016-12,1358.8,19600.0,59700.0
00090,2016-06,1348.1,21300.0,33800.0
00090,2015-12,1391.2,22000.0,32400.000000000004
00090,2015-06,1299.1,31100.0,49400.00000000001
00092,2018-12,4761.97,24800.0,13700.000000000002
00092,2018-06,2777.93,25700.0,10800.0
00092,2017-12,8152.96,29600.0,8920.66
00092,2017-06,369300.0,383900.0,25500.0
00092,2016-12,765300.0,774599.9999999999,20299.999999999996
00092,2016-06,731200.0,745600.0,23600.0
00092,2015-12,30800.0,536500.0,19500.0
00092,2015-06,1623.98,384900.0,28200.0
00093,2018-09,5390.75,30900.0,2173.48
00093,2018-03,5884.54,30299.999999999996,1727.01
00093,2017-09,6666.86,31100.0,1461.84
00093,2017-03,7032.63,32200.000000000004,1493.71
00093,2016-09,8975.35,32599.999999999996,2060.39
00093,2016-03,9443.06,34800.0,1876.81
00093,2015-09,9731.77,34600.0,1823.59
00093,2015-03,9634.11,36000.0,1806.6
00094,2018-12,2293.02,32100.0,16500.0
00094,2018-06,3126.97,36900.0,28600.0
00094,2017-12,2001.08,40300.0,10800.0
00094,2017-06,3642.92,27900.0,11100.000000000002
00094,2016-12,2507.4,24800.0,18100.0
00094,2016-06,4369.59,20500.0,27900.0
00094,2015-12,2522.89,20700.0,48300.0
00094,2015-06,4529.07,19600.0,57000.0
00095,2018-12,1071000.0,1924100.0,1169000.0
00095,2018-06,741900.0,1399800.0,950100.0
00095,2017-12,635200.0,1414300.0,965100.0
00095,2017-06,611200.0,1257300.0,688700.0
00095,2016-12,553400.0,1152500.0,581600.0
00095,2016-06,519700.0,1099700.0,502200.0
00095,2015-12,540400.0,1038500.0,719300.0000000001
00095,2015-06,32400.000000000004,66400.0,22799.999999999996
00096,2018-12,32599.999999999996,91600.0,81000.0
00096,2018-06,26100.0,67300.0,63300.0
00096,2017-12,22500.0,72400.0,69900.0
00096,2017-06,21200.0,64800.00000000001,63400.0
00096,2016-12,20500.0,72000.0,72700.0
00096,2016-06,14900.0,64400.00000000001,63500.0
00096,2015-12,13899.999999999998,58500.0,58300.0
00096,2015-06,19200.0,54200.0,55000.0
00097,2018-12,10800.0,57699.99999999999,44800.00000000001
00097,2018-06,11000.0,54800.00000000001,42200.0
00097,2017-12,4931.87,69600.0,28500.0
00097,2017-06,5381.1,70300.0,25299.999999999996
00097,2016-12,5456.51,82000.0,32300.0
00097,2016-06,4871.62,76400.0,23800.0
00097,2015-12,5529.35,76600.0,25299.999999999996
00097,2015-06,4652.8,74500.0,23200.0
00098,2018-12,114400.0,473200.0,419000.0
00098,2018-06,152600.0,477800.0,453700.0
00098,2017-12,126400.0,414300.0,381100.0
00098,2017-06,130800.0,391500.0,376300.0
00098,2016-12,96300.00000000001,320200.00000000006,318400.0
00098,2016-06,84100.0,282900.0,320700.0
00098,2015-12,67800.0,267000.0,313900.0
00098,2015-06,75400.0,272500.0,330000.0
00099,2018-12,76200.0,257900.0,167600.00000000003
00099,2018-06,75700.0,244700.0,168700.0
